Order_ID,Order_Date,Customer_ID,Gender,Age,Region,Product_Category,Price,Quantity
1,2023-12-07,1051,Female,37,West,Clothing,26.98,3
2,2023-10-10,1092,Female,41,South,Clothing,180.66,5
3,2023-02-11,1014,Female,22,East,Electronics,1516.96,5
4,2023-02-01,1071,Male,51,North,Sports,206.66,1
5,2023-11-13,1060,Male,23,East,Electronics,1718.01,2
6,2023-08-20,1020,Female,19,North,Home,254.33,4
7,2023-09-06,1082,Male,30,West,Electronics,640.69,2
8,2023-09-06,1086,Male,28,East,Electronics,1838.54,2
9,2023-07-23,1074,Female,40,South,Home,708.97,1
10,2023-02-14,1074,Female,33,North,Home,142.44,1
11,2023-04-13,1087,Male,48,North,Home,136.07,1
12,2023-02-27,1099,Male,28,East,Electronics,838.48,1
13,2023-11-28,1023,Male,33,West,Electronics,566.74,5
14,2023-08-05,1002,Female,25,East,Home,812.01,1
15,2023-11-28,1021,Female,21,West,Sports,491.42,5
16,2023-11-29,1052,Female,57,West,Sports,403.26,5
17,2023-12-10,1001,Female,21,North,Clothing,52.78,1
18,2023-02-15,1087,Male,42,East,Home,337.96,3
19,2023-01-10,1029,Female,20,East,Clothing,196.08,4
20,2023-01-24,1037,Female,49,West,Sports,457.19,2
21,2023-11-20,1001,Female,20,East,Clothing,118.44,5
22,2023-04-04,1063,Female,44,South,Home,194.6,4
23,2023-07-02,1059,Female,46,South,Home,707.81,3
24,2023-10-10,1020,Male,49,East,Home,593.85,2
25,2023-11-08,1032,Male,36,East,Electronics,1142.69,2
26,2023-01-18,1075,Female,38,West,Clothing,179.09,5
27,2023-07-15,1057,Male,22,South,Sports,63.42,1
28,2023-02-10,1021,Female,35,South,Sports,358.57,3
29,2023-02-15,1088,Female,45,North,Sports,376.14,5
30,2023-06-12,1048,Male,59,West,Electronics,839.29,3
31,2023-12-30,1090,Male,39,North,Electronics,1199.66,1
32,2023-11-30,1058,Female,38,South,Home,762.5,1
33,2023-08-13,1041,Female,23,West,Sports,325.27,5
34,2023-01-13,1091,Female,18,East,Electronics,646.69,1
35,2023-03-28,1059,Male,22,West,Home,411.0,4
36,2023-09-29,1079,Female,58,East,Sports,292.54,2
37,2023-10-12,1014,Female,29,East,Clothing,181.07,5
38,2023-11-01,1061,Female,43,West,Home,777.42,3
39,2023-10-14,1061,Male,51,East,Electronics,560.36,4
40,2023-07-01,1046,Female,31,North,Electronics,1182.21,5
41,2023-09-20,1061,Female,43,South,Home,303.4,1
42,2023-04-14,1050,Male,44,East,Home,720.72,1
43,2023-10-25,1054,Female,26,North,Electronics,772.98,1
44,2023-04-03,1063,Female,43,East,Clothing,180.55,1
45,2023-10-14,1002,Male,39,South,Sports,366.03,3
46,2023-04-17,1050,Female,47,North,Clothing,101.47,4
47,2023-12-27,1006,Male,34,South,Home,426.11,2
48,2023-02-16,1020,Male,43,South,Clothing,35.06,3
49,2023-07-22,1072,Female,53,North,Electronics,1784.82,3
50,2023-06-16,1038,Female,18,North,Home,512.37,2
51,2023-09-25,1017,Female,25,North,Sports,158.71,2
52,2023-04-21,1003,Female,52,West,Electronics,1832.26,1
53,2023-10-07,1088,Male,32,North,Electronics,1861.26,3
54,2023-03-03,1059,Female,39,North,Sports,410.08,5
55,2023-12-21,1013,Male,31,North,Sports,275.35,2
56,2023-06-21,1008,Female,43,North,Clothing,103.57,2
57,2023-08-16,1089,Female,45,East,Home,343.72,4
58,2023-02-16,1052,Female,40,West,Sports,307.29,5
59,2023-01-10,1001,Male,31,South,Sports,177.29,5
60,2023-10-10,1083,Female,41,North,Home,533.2,2
61,2023-10-01,1091,Female,19,East,Sports,338.93,1
62,2023-12-31,1059,Female,43,East,Sports,457.82,4
63,2023-08-08,1070,Female,31,East,Clothing,166.71,5
64,2023-04-04,1043,Male,24,South,Electronics,690.11,2
65,2023-01-06,1007,Female,20,North,Electronics,844.93,5
66,2023-11-03,1046,Male,40,West,Electronics,1126.18,4
67,2023-11-04,1034,Male,35,West,Electronics,1447.92,4
68,2023-10-07,1077,Male,55,East,Sports,367.41,3
69,2023-10-30,1080,Male,52,South,Home,718.81,2
70,2023-12-18,1035,Male,32,South,Home,841.65,4
71,2023-03-31,1049,Male,42,South,Clothing,196.35,3
72,2023-12-17,1003,Female,54,West,Clothing,49.29,3
73,2023-08-05,1001,Male,45,East,Sports,142.83,5
74,2023-06-25,1005,Male,27,North,Home,492.7,5
75,2023-10-11,1053,Male,56,West,Home,816.37,3
76,2023-08-02,1003,Female,34,East,Electronics,1757.31,5
77,2023-10-12,1053,Female,56,East,Sports,444.63,4
78,2023-01-15,1092,Male,39,North,Sports,310.65,1
79,2023-02-27,1062,Female,43,North,Electronics,1331.72,4
80,2023-07-21,1017,Male,42,North,Sports,61.6,3
81,2023-01-06,1089,Male,34,South,Sports,343.62,3
82,2023-05-30,1043,Female,30,North,Clothing,49.27,4
83,2023-12-27,1033,Male,37,East,Home,966.05,5
84,2023-12-23,1073,Female,42,North,Sports,172.93,5
85,2023-10-25,1061,Female,21,East,Clothing,46.99,3
86,2023-03-27,1099,Male,27,West,Home,139.69,2
87,2023-08-18,1013,Male,20,South,Electronics,1418.41,5
88,2023-04-16,1094,Female,58,West,Clothing,188.73,4
89,2023-05-21,1047,Male,35,West,Clothing,145.74,5
90,2023-01-09,1014,Male,53,East,Home,748.35,4
91,2023-04-17,1071,Male,39,West,Electronics,1435.63,3
92,2023-08-11,1077,Female,51,East,Clothing,98.16,5
93,2023-01-18,1086,Female,25,North,Sports,283.96,4
94,2023-08-01,1061,Male,57,North,Sports,289.42,3
95,2023-03-04,1039,Female,36,East,Sports,148.84,2
96,2023-06-27,1084,Female,59,North,Electronics,1749.77,4
97,2023-09-16,1079,Female,58,South,Clothing,72.98,2
98,2023-11-29,1081,Female,54,West,Sports,288.23,2
99,2023-11-10,1052,Female,23,South,Electronics,1708.94,1
100,2023-11-23,1023,Male,43,West,Sports,419.72,5
101,2023-03-10,1025,Male,51,North,Home,359.06,4
102,2023-06-17,1088,Male,23,South,Clothing,135.24,2
103,2023-09-25,1059,Female,54,North,Clothing,87.52,1
